Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Aggregate rating,Rating color,Rating text
1100,1,0,0,0,4.8,0,1
1200,1,0,0,0,4.5,0,1
4000,1,0,0,0,4.4,1,5
1500,0,0,0,0,4.9,0,1
1500,1,0,0,0,4.8,0,1
1000,0,0,0,0,4.4,1,5
2000,1,0,0,0,4.0,1,5
2000,1,0,0,0,4.2,1,5
6000,1,0,0,0,4.9,0,1
1100,1,0,0,0,4.8,0,1
800,0,0,0,0,4.9,0,1
900,1,0,0,0,4.2,1,5
800,0,0,0,0,4.8,0,1
1000,1,0,0,0,4.2,1,5
700,0,0,0,0,4.3,1,5
800,0,0,0,0,3.6,5,2
850,0,0,0,0,4.0,1,5
1200,1,0,0,0,4.5,0,1
600,0,0,0,0,4.5,0,1
1500,1,0,0,0,4.4,1,5
3000,1,0,0,0,4.7,0,1
1800,1,0,0,0,4.5,0,1
55,0,0,0,0,3.0,2,0
30,0,0,0,0,3.8,5,2
45,0,0,0,0,3.7,5,2
60,0,0,0,0,3.8,5,2
50,0,0,0,0,3.2,2,0
80,0,0,0,0,3.1,2,0
90,0,0,0,0,3.7,5,2
200,0,0,0,0,3.7,5,2
30,0,0,0,0,0.0,4,3
150,0,0,0,0,4.1,1,5
100,0,0,0,0,3.1,2,0
60,0,0,0,0,3.6,5,2
100,0,0,0,0,4.3,1,5
230,0,0,0,0,4.2,1,5
100,0,0,0,0,3.6,5,2
150,0,0,0,0,4.0,1,5
240,0,0,0,0,3.2,2,0
230,0,0,0,0,4.9,0,1
350,0,0,0,0,3.3,2,0
50,0,0,0,0,3.6,5,2
140,0,0,0,0,4.0,1,5
100,0,0,0,0,4.8,0,1
60,0,0,0,0,4.7,0,1
90,0,0,0,0,4.5,0,1
170,0,0,0,0,4.2,1,5
60,0,0,0,0,4.8,0,1
100,0,0,0,0,4.9,0,1
90,0,0,0,0,4.6,0,1
120,0,0,0,0,4.9,0,1
170,0,0,0,0,4.6,0,1
90,0,0,0,0,4.3,1,5
150,0,0,0,0,4.0,1,5
250,0,0,0,0,4.6,0,1
120,0,0,0,0,4.4,1,5
40,0,0,0,0,4.2,1,5
250,0,0,0,0,4.2,1,5
70,0,0,0,0,0.0,4,3
300,0,0,0,0,4.7,0,1
85,0,0,0,0,4.6,0,1
80,0,0,0,0,4.3,1,5
250,0,0,0,0,4.5,0,1
250,0,0,0,0,4.4,1,5
70,0,0,0,0,3.1,2,0
100,0,0,0,0,4.1,1,5
300,0,0,0,0,4.8,0,1
120,0,0,0,0,4.6,0,1
75,0,0,0,0,3.9,5,2
55,0,0,0,0,0.0,4,3
200,0,0,0,0,3.4,2,0
120,0,0,0,0,3.5,5,2
300,0,0,0,0,4.3,1,5
230,0,0,0,0,3.9,5,2
120,0,0,0,0,4.3,1,5
150,0,0,0,0,4.3,1,5
400,0,0,0,0,4.4,1,5
65,0,0,0,0,0.0,4,3
50,0,0,0,0,0.0,4,3
100,0,0,0,0,4.4,1,5
70,0,0,0,0,4.6,0,1
120,0,0,0,0,4.1,1,5
25,0,0,0,0,3.3,2,0
10,0,0,0,0,3.3,2,0
0,0,0,0,0,3.4,2,0
10,0,0,0,0,3.4,2,0
10,0,0,0,0,3.5,5,2
10,0,0,0,0,3.9,5,2
25,0,0,0,0,3.7,5,2
70,0,0,0,0,3.5,5,2
25,0,0,0,0,3.6,5,2
10,0,0,0,0,3.8,5,2
25,0,0,0,0,3.5,5,2
25,0,0,0,0,3.5,5,2
40,0,0,0,0,3.6,5,2
40,0,0,0,0,3.5,5,2
40,0,0,0,0,3.8,5,2
10,0,0,0,0,3.7,5,2
10,0,0,0,0,3.4,2,0
20,0,0,0,0,3.5,5,2
40,0,0,0,0,4.5,0,1
10,0,0,0,0,4.5,0,1
10,0,0,0,0,4.6,0,1
10,0,0,0,0,3.9,5,2
10,0,0,0,0,3.7,5,2
10,0,0,0,0,4.3,1,5
10,0,0,0,0,4.2,1,5
25,0,0,0,0,4.0,1,5
25,0,0,0,0,4.1,1,5
40,0,0,0,0,4.3,1,5
10,0,0,0,0,4.2,1,5
10,0,0,0,0,4.1,1,5
40,0,0,0,0,4.1,1,5
25,0,0,0,0,4.2,1,5
10,0,0,0,0,4.1,1,5
40,0,0,0,0,4.1,1,5
10,0,0,0,0,4.4,1,5
10,0,0,0,0,4.4,1,5
25,0,0,0,0,4.2,1,5
10,0,0,0,0,4.1,1,5
